model,phase,prompt_length,time_sec,tokens_per_sec,mem_allocated_gb,gpu_memory_util_pct
fp16,prefill,128,0.029543600976467133,4332.579501800002,16.119376384,92.0
fp16,ttft,128,0.029998652637004852,,,
fp16,decode,128,0.022979043424129486,43.517912453654844,16.140347904,100.0
fp16,prefill,512,0.08107905834913254,6314.82420275886,16.268281344,40.0
fp16,ttft,512,0.07687561213970184,,,
fp16,decode,512,0.023620732128620148,42.33569029760709,16.292536832,100.0
fp16,prefill,1024,0.15213441103696823,6730.8900926508395,16.465949184,31.0
fp16,ttft,1024,0.14642397314310074,,,
fp16,decode,1024,0.024204134941101074,41.31525470476115,16.488700416,100.0
fp16,prefill,2048,0.29589422792196274,6921.392196065841,16.863904256,38.0
fp16,ttft,2048,0.2798122391104698,,,
fp16,decode,2048,0.02493491768836975,40.10440349143098,16.884867584,100.0
fp16,prefill,4096,0.6232155412435532,6572.364982790568,17.656668672,39.0
fp16,ttft,4096,0.5892687514424324,,,
fp16,decode,4096,0.027259692549705505,36.684199507261255,17.677623808,100.0
int8,prefill,128,0.10760611295700073,1189.5234990148622,9.145961984,13.0
int8,ttft,128,0.10886547714471817,,,
int8,decode,128,0.08332808315753937,12.000756072948521,9.166895104,16.0
int8,prefill,512,0.11866110563278198,4314.808944933276,9.29558784,21.0
int8,ttft,512,0.1149531900882721,,,
int8,decode,512,0.08783531934022903,11.384941815108707,9.31768064,16.0
int8,prefill,1024,0.14269444346427917,7176.172912832018,9.49325568,33.0
int8,ttft,1024,0.13308854401111603,,,
int8,decode,1024,0.08331567049026489,12.002543988610714,9.51544576,18.0
int8,prefill,2048,0.22273771464824677,9194.670975385805,9.891210752,51.0
int8,ttft,2048,0.2113146185874939,,,
int8,decode,2048,0.0830652005970478,12.038735749896457,9.912137216,19.0
int8,prefill,4096,0.4421314224600792,9264.213742622725,10.683975168,64.0
int8,ttft,4096,0.4063849076628685,,,
int8,decode,4096,0.08227309584617615,12.154641681038402,10.704894976,22.0
gptq,prefill,128,0.1825665682554245,701.1141263329126,5.794884096,100.0
gptq,ttft,128,0.18262344598770142,,,
gptq,decode,128,0.17491907998919487,5.71692922271128,5.815855616,100.0
gptq,prefill,512,0.22995371371507645,2226.5350349348664,5.94372352,88.0
gptq,ttft,512,0.2254568114876747,,,
gptq,decode,512,0.17557799816131592,5.695474435704805,5.964759552,100.0
gptq,prefill,1024,0.3198687359690666,3201.3131789754766,6.142177792,81.0
gptq,ttft,1024,0.3131265789270401,,,
gptq,decode,1024,0.1766158901154995,5.662004700404031,6.164128256,100.0
gptq,prefill,2048,0.5704631209373474,3590.0655534662105,6.539084288,80.0
gptq,ttft,2048,0.5554283931851387,,,
gptq,decode,2048,0.177090834826231,5.6468196165049545,6.560047616,100.0
gptq,prefill,4096,1.3193433731794357,3104.5746568076547,7.33289728,87.0
gptq,ttft,4096,1.2794607430696487,,,
gptq,decode,4096,0.17825617641210556,5.609903791990509,7.353852416,100.0
awq,prefill,128,0.06287384033203125,2035.8228370343404,5.78703616,16.0
awq,ttft,128,0.06202466040849686,,,
awq,decode,128,0.03940960019826889,25.37452790611984,5.80800768,22.0
awq,prefill,512,0.2142932042479515,2389.249821508954,5.936662016,7.0
awq,ttft,512,0.2134997546672821,,,
awq,decode,512,0.039317354559898376,25.43406114662524,5.960188416,24.0
awq,prefill,1024,0.16661878675222397,6145.765552372995,6.134329856,46.0
awq,ttft,1024,0.16154154390096664,,,
awq,decode,1024,0.03918956592679024,25.51699607666217,6.15628032,25.0
awq,prefill,2048,0.3166814371943474,6467.066772667014,6.532284928,40.0
awq,ttft,2048,0.30419548600912094,,,
awq,decode,2048,0.039250243455171585,25.47754897729789,6.553248256,27.0
awq,prefill,4096,0.6506388857960701,6295.350753572712,7.325049344,41.0
awq,ttft,4096,0.6176503077149391,,,
awq,decode,4096,0.039297040551900864,25.4472088980662,7.34600448,34.0
